_id,term,frequency,kb_id,type
67118a08a620e436ef12ad62,newburg,42,,GPE
67118a08a620e436ef12ad63,w.va.,930,,GPE
67118a08a620e436ef12ad64,kingwood,6,,GPE
67118a08a620e436ef12ad6c,graham,96,,GPE
67118a08a620e436ef12ad79,w. va. -,87,,GPE
67118a08a620e436ef12ad7e,w. va. - c.w. shorter,3,,GPE
67118a08a620e436ef12ad99,"gang helper buffalo
",3,,GPE
67118a08a620e436ef12ad9a,helper helper buffalo,3,,GPE
67118a08a620e436ef12adb3,fairview,21,,GPE
67118a08a620e436ef12adc2,salem,114,,GPE
67118a08a620e436ef12adc9,labr,54,,GPE
67118a08a620e436ef12adce,zanesvl,3,,GPE
67118a08a620e436ef12add2,hobart charles salem,3,,GPE
67118a08a620e436ef12ae33,ohio railroad,2148,,GPE
67118a08a620e436ef12ae38,youngstown d.f.,3,,GPE
67118a08a620e436ef12ae8d,n.y.,411,,GPE
67118a08a620e436ef12ae9a,kentucky,213,,GPE
67118a08a620e436ef12aebe,d.c.,585,,GPE
67118a08a620e436ef12aed7,centralia,15,,GPE
67118a08a620e436ef12aed9,escanaba,3,,GPE
67118a08a620e436ef12aef2,rt,27,,GPE
67118a08a620e436ef12aef9,severna,3,,GPE
67118a08a620e436ef12af01,rv,15,,GPE
67118a08a620e436ef12af07,new albany,21,,GPE
67118a08a620e436ef12af0b,new alban,3,,GPE
67118a08a620e436ef12af0c,milan,18,,GPE
67118a08a620e436ef12af0d,"seymour
brownstown",3,,GPE
67118a08a620e436ef12af31,hill,144,,GPE
67118a08a620e436ef12af38,midland city,60,,GPE
67118a08a620e436ef12af3f,ho,15,,GPE
67118a08a620e436ef12af40,jt,15,,GPE
67118a08a620e436ef12af42,b&c,3,,GPE
67118a08a620e436ef12af54,ridley,3,,GPE
67118a08a620e436ef12af79,e.s.,15,,GPE
67118a08a620e436ef12afbb,harvey,33,,GPE
67118a08a620e436ef12afbd,virginian,6,,GPE
67118a08a620e436ef12afca,phillips,159,,GPE
67118a08a620e436ef12b068,rand,198,,GPE
67118a08a620e436ef12b070,w. va,807,,GPE
67118a08a620e436ef12b07e,ashford,9,,GPE
67118a08a620e436ef12b084,md helper,3,,GPE
67118a08a620e436ef12b089,v.f.j.a.,3,,GPE
67118a08a620e436ef12b098,indianapolis,264,,GPE
67118a08a620e436ef12b09b,mclaughlin,39,,GPE
67118a08a620e436ef12b0b6,conn.,15,,GPE
67118a08a620e436ef12b0c1,h.g.,3,,GPE
67118a08a620e436ef12b0d5,nid#155571 na27803 n12-22-25,3,,GPE
67118a08a620e436ef12b0db,mich.,57,,GPE
67118a08a620e436ef12b0e7,mich. term,3,,GPE
67118a08a620e436ef12b0fb,east st. louis,123,,GPE
67118a08a620e436ef12b0fc,resgd,87,,GPE
67118a08a620e436ef12b104,d.o.b,3,,GPE
67118a08a620e436ef12b106,"willard
rate",3,,GPE
67118a08a620e436ef12b126,triadelphia,3,,GPE
67118a08a620e436ef12b12f,municipal buffalo,3,,GPE
67118a08a620e436ef12b13d,washington st.,24,,GPE
67118a08a620e436ef12b141,n.c.,84,,GPE
67118a08a620e436ef12b157,"md
grade",6,,GPE
67118a08a620e436ef12b159,towson,27,,GPE
67118a08a620e436ef12b160,mt. clare,867,,GPE
67118a08a620e436ef12b184,harrisburg,78,,GPE
67118a08a620e436ef12b198,st,189,,GPE
67118a08a620e436ef12b19e,clarksburg,924,,GPE
67118a08a620e436ef12b1b1,keller,39,,GPE
67118a08a620e436ef12b1b3,buletn',3,,GPE
67118a08a620e436ef12b1c1,ford city,6,,GPE
67118a08a620e436ef12b1cf,t grafton,3,,GPE
67118a08a620e436ef12b1d7,w cincinnati,3,,GPE
67118a08a620e436ef12b1e3,sold io,3,,GPE
67118a08a620e436ef12b1ee,engr,354,,GPE
67118a08a620e436ef12b1ef,w. va. retains,3,,GPE
67118a08a620e436ef12b1f6,newton falls,54,,GPE
67118a08a620e436ef12b1fc,"st. louis
department",9,,GPE
67118a08a620e436ef12b216,aa,3,,GPE
67118a08a620e436ef12b21d,va.,825,,GPE
67118a08a620e436ef12b236,niles,27,,GPE
67118a08a620e436ef12b258,dd-39832,3,,GPE
67118a08a620e436ef12b25f,barnesville,39,,GPE
67118a09a620e436ef12b27f,wellston,21,,GPE
67118a09a620e436ef12b294,twin oaks,3,,GPE
67118a09a620e436ef12b2a0,greenup,81,,GPE
67118a09a620e436ef12b2a3,new pe,15,,GPE
67118a09a620e436ef12b2a7,minnesota,6,,GPE
67118a09a620e436ef12b2b9,rd dep,3,,GPE
67118a09a620e436ef12b2e2,the city of cincinnati,21,,GPE
67118a09a620e436ef12b312,riverside,276,,GPE
67118a09a620e436ef12b35e,green,207,,GPE
67118a09a620e436ef12b38e,lkeghr,3,,GPE
67118a09a620e436ef12b392,pitts,228,,GPE
67118a09a620e436ef12b393,ptlslr,3,,GPE
67118a09a620e436ef12b397,esprt,3,,GPE
67118a09a620e436ef12b398,"fireman buffalo
pittsburgh",3,,GPE
67118a09a620e436ef12b39e,erste,3,,GPE
67118a09a620e436ef12b3a1,"st.
buffalo",3,,GPE
67118a09a620e436ef12b3a3,buff brooklyn,3,,GPE
67118a09a620e436ef12b3ad,r8zi22,3,,GPE
67118a09a620e436ef12b3ae,macon,21,,GPE
67118a09a620e436ef12b3b8,berkley springs,6,,GPE
67118a09a620e436ef12b3cf,city,24,,GPE
67118a09a620e436ef12b3ed,watchman,96,,GPE
67118a09a620e436ef12b3fb,"pin puller
balto",3,,GPE
67118a09a620e436ef12b40b,malta,33,,GPE
67118a09a620e436ef12b40e,zanesville,222,,GPE
67118a09a620e436ef12b427,cinci,21,,GPE
67118a09a620e436ef12b43b,lansdown,6,,GPE
67118a09a620e436ef12b43d,berwyn,6,,GPE
67118a09a620e436ef12b455,athens,108,,GPE
67118a09a620e436ef12b467,proctor,18,,GPE
67118a09a620e436ef12b478,the state of west virginia,255,,GPE
67118a09a620e436ef12b49e,deforest jct,36,,GPE
67118a09a620e436ef12b4a0,warwick,27,,GPE
67118a09a620e436ef12b4a2,wooster,21,,GPE
67118a09a620e436ef12b4b4,pambrough,3,,GPE
67118a09a620e436ef12b4cb,charles,159,,GPE
67118a09a620e436ef12b4eb,birth county,3,,GPE
67118a09a620e436ef12b4ec,augusta,39,,GPE
67118a09a620e436ef12b4f1,st. denis,12,,GPE
67118a09a620e436ef12b4f2,telegrapher,18,,GPE
67118a09a620e436ef12b51e,.65,9,,GPE
67118a09a620e436ef12b52c,cockeysville,6,,GPE
67118a09a620e436ef12b52f,"l st
balt",3,,GPE
67118a09a620e436ef12b557,rock store,6,,GPE
67118a09a620e436ef12b55f,sta.,138,,GPE
67118a09a620e436ef12b560,dept,342,,GPE
67118a09a620e436ef12b56f,the united states railroad administration,78,,GPE
67118a09a620e436ef12b579,johnstown,51,,GPE
67118a09a620e436ef12b57c,jct,36,,GPE
67118a09a620e436ef12b5d3,ind,120,,GPE
67118a09a620e436ef12b5d4,buffalo m.p. dubois,39,,GPE
67118a09a620e436ef12b5f5,machinist,909,,GPE
67118a09a620e436ef12b638,brksmn,9,,GPE
67118a09a620e436ef12b647,shop,84,,GPE
67118a09a620e436ef12b65b,lofa,75,,GPE
67118a09a620e436ef12b660,pa dist,6,,GPE
67118a09a620e436ef12b66d,nz,3,,GPE
67118a09a620e436ef12b68c,fort wayne,9,,GPE
67118a09a620e436ef12b6bc,lofm.s.,3,,GPE
67118a09a620e436ef12b6c1,st louis  ,3,,GPE
67118a09a620e436ef12b6e3,philadelphia born,3,,GPE
67118a09a620e436ef12b6e6,carman hlpr,117,,GPE
67118a09a620e436ef12b6f6,greenwich,15,,GPE
67118a09a620e436ef12b6f8,dept.,294,,GPE
67118a09a620e436ef12b703,i.mbr,3,,GPE
67118a09a620e436ef12b70d,st george,9,,GPE
