_id,term,frequency,kb_id,type
67118a09a620e436ef12ba90,3,165,,MONEY
67118a09a620e436ef12ba9f,214.61,3,,MONEY
67118a09a620e436ef12bad4,10.50,39,,MONEY
67118a09a620e436ef12bb30,9/15/44 9/11/44 \/ 6 5/2/46,3,,MONEY
67118a09a620e436ef12bb92,44,45,,MONEY
67118a09a620e436ef12bc39,44.21,3,,MONEY
67118a09a620e436ef12bd14,202.80,3,,MONEY
67118a09a620e436ef12bd60,46584,3,,MONEY
67118a09a620e436ef12bd6c,77.69,3,,MONEY
67118a09a620e436ef12bdc6,330.45 rpo chg,3,,MONEY
67118a09a620e436ef12bde9,17,108,,MONEY
67118a09a620e436ef12be00,313.05 4-1-52,3,,MONEY
67118a09a620e436ef12be95,600145,3,,MONEY
67118a09a620e436ef12bf31,13.66,3,,MONEY
67118a09a620e436ef12bf53,845.00,3,,MONEY
67118a09a620e436ef12bf54,854.00,6,,MONEY
67118a09a620e436ef12bf5e,738109,3,,MONEY
67118a09a620e436ef12bfe5,410062,3,,MONEY
67118a09a620e436ef12bfed,733.70 721.04 842.00 7,3,,MONEY
67118a09a620e436ef12c070,107192,3,,MONEY
67118a09a620e436ef12c07c,"#3
service dates - occupation - division - department - location - rate",3,,MONEY
67118a09a620e436ef12c083,143.54,3,,MONEY
67118a09a620e436ef12c09a,591v,3,,MONEY
67118a09a620e436ef12c0a6,178.90,3,,MONEY
67118a09a620e436ef12c0a9,10amr,3,,MONEY
67118a09a620e436ef12c0ba,78,18,,MONEY
67118a09a620e436ef12c0f5,737749,9,,MONEY
67118a0aa620e436ef12c204,100.00,117,,MONEY
67118a0aa620e436ef12c205,130.00,9,,MONEY
67118a0aa620e436ef12c21c,3/16/33 yards,3,,MONEY
67118a0aa620e436ef12c226,268,9,,MONEY
67118a0aa620e436ef12c250,87.68,3,,MONEY
67118a0aa620e436ef12c28d,328.03 r1070,3,,MONEY
67118a0aa620e436ef12c293,217.66,3,,MONEY
67118a0aa620e436ef12c389,117669,3,,MONEY
67118a0aa620e436ef12c38e,43,126,,MONEY
67118a0aa620e436ef12c3a1,18.31,3,,MONEY
67118a0aa620e436ef12c3bb,2336,3,,MONEY
67118a0aa620e436ef12c3e3,211.41,3,,MONEY
67118a0aa620e436ef12c3e6,1590885,3,,MONEY
67118a0aa620e436ef12c40c,061,3,,MONEY
67118a0aa620e436ef12c420,70,54,,MONEY
67118a0aa620e436ef12c444,414482,15,,MONEY
67118a0aa620e436ef12c471,115.79,3,,MONEY
67118a0aa620e436ef12c4f7,405558,6,,MONEY
67118a0aa620e436ef12c58c,157.93,3,,MONEY
67118a0aa620e436ef12c610,125734,3,,MONEY
67118a0aa620e436ef12c621,132.00,3,,MONEY
67118a0aa620e436ef12c677,737967,3,,MONEY
67118a0aa620e436ef12c693,108.72,3,,MONEY
67118a0aa620e436ef12c6d6,1041,3,,MONEY
67118a0aa620e436ef12c703,239,3,,MONEY
67118a0aa620e436ef12c71a,104155,3,,MONEY
67118a0aa620e436ef12c783,56,90,,MONEY
67118a0aa620e436ef12c784,59,21,,MONEY
67118a0aa620e436ef12c813,4008,6,,MONEY
67118a0aa620e436ef12c859,245.17,3,,MONEY
67118a0aa620e436ef12c86c,227120,3,,MONEY
67118a0aa620e436ef12c8b3,114513,3,,MONEY
67118a0aa620e436ef12c8db,205.00,6,,MONEY
67118a0aa620e436ef12c9a7,200.00,87,,MONEY
67118a0aa620e436ef12c9a9,95.00,12,,MONEY
67118a0aa620e436ef12c9ca,97,24,,MONEY
67118a0aa620e436ef12c9e1,7935,3,,MONEY
67118a0aa620e436ef12ca12,1511-cb,3,,MONEY
67118a0aa620e436ef12ca20,13.80,9,,MONEY
67118a0aa620e436ef12ca23,2.98,3,,MONEY
67118a0aa620e436ef12ca24,12.91,6,,MONEY
67118a0aa620e436ef12ca26,14.07,3,,MONEY
67118a0aa620e436ef12ca49,42.71,3,,MONEY
67118a0aa620e436ef12cacd,6/7/96 rp certificate,3,,MONEY
67118a0aa620e436ef12cafb,6 39 goods carts c.c.,3,,MONEY
67118a0aa620e436ef12cb06,42,153,,MONEY
67118a0aa620e436ef12cb51,332,3,,MONEY
67118a0aa620e436ef12cb89,262.68,3,,MONEY
67118a0aa620e436ef12cb8c,737978,3,,MONEY
67118a0aa620e436ef12cbc9,0.45,18,,MONEY
67118a0aa620e436ef12cbca,0.50,78,,MONEY
67118a0aa620e436ef12cbcb,0.55,9,,MONEY
67118a0aa620e436ef12cbcc,0.40,18,,MONEY
67118a0aa620e436ef12cbcd,0.60,30,,MONEY
67118a0aa620e436ef12cbce,0.70,42,,MONEY
67118a0aa620e436ef12cbcf,0.75,102,,MONEY
67118a0aa620e436ef12cbd0,0.85,6,,MONEY
67118a0aa620e436ef12cbd2,0.80,48,,MONEY
