_id,term,frequency,kb_id,type
67118a0ba620e436ef12dc57,"yard helper
cumb",3,,LOC
67118a0ba620e436ef12dc97,blue island jct,3,,LOC
67118a0ba620e436ef12ddad,secy lake,3,,LOC
67118a0ba620e436ef12ddb0,eel lake,3,,LOC
67118a0ba620e436ef12ddc0,"new, river",3,,LOC
67118a0ba620e436ef12ddc1,n.c. river,3,,LOC
67118a0ba620e436ef12de45,mt. sv,3,,LOC
67118a0ba620e436ef12e024,"laborer
8-2-49",3,,LOC
67118a0ba620e436ef12e0c9,ct youngstown,9,,LOC
67118a0ba620e436ef12e17a,"birth
11-",3,,LOC
67118a0ba620e436ef12e225,park,18,,LOC
67118a0ba620e436ef12e288,chesapeake region,21,,LOC
67118a0ba620e436ef12e29d,"californai
occupation",3,,LOC
67118a0ca620e436ef12e710,mt. lake pk,9,,LOC
67118a0ca620e436ef12e714,mt.lake,3,,LOC
67118a0ca620e436ef12e779,the west sub-division,3,,LOC
67118a0ca620e436ef12e868,laborer chicago,9,,LOC
67118a0ca620e436ef12e8f4,east end storrs,6,,LOC
67118a0ca620e436ef12e907,south 104,3,,LOC
67118a0ca620e436ef12e97e,ct&v district,3,,LOC
67118a0ca620e436ef12e983,the ct&v district,3,,LOC
67118a0ca620e436ef12e98c,middle edward,9,,LOC
67118a0ca620e436ef12e996,asmd,9,,LOC
67118a0ca620e436ef12e9e6,west shore jct,3,,LOC
67118a0ca620e436ef12ea43,"brunsulek
bruswick",3,,LOC
67118a0ca620e436ef12ea4e,spl furld,12,,LOC
67118a0ca620e436ef12ec44,acgr,3,,LOC
67118a0ca620e436ef12ec4d,tygarts jct,3,,LOC
67118a0ca620e436ef12ed42,goehring for no.,3,,LOC
67118a0ca620e436ef12ede8,mndr,3,,LOC
67118a0ca620e436ef12ee2e,atlantic district line,3,,LOC
67118a0ca620e436ef12ee51,east columbus,9,,LOC
67118a0ca620e436ef12ee54,northwestern railroad,3,,LOC
67118a0ca620e436ef12eec7,wreckmaster,3,,LOC
67118a0ca620e436ef12ef1b,track,12,,LOC
67118a0ca620e436ef12ef4e,.47,24,,LOC
67118a0ca620e436ef12ef7e,asgn,12,,LOC
67118a0ca620e436ef12f0dd,the cl&w district,3,,LOC
67118a0ca620e436ef12f0e2,west hump,6,,LOC
67118a0ca620e436ef12f0ea,casparis,3,,LOC
67118a0ca620e436ef12f165,svs,30,,LOC
67118a0ca620e436ef12f1ae,mitt,3,,LOC
67118a0ca620e436ef12f339,gfle,3,,LOC
67118a0da620e436ef12f4dc,new appld,3,,LOC
67118a0da620e436ef12f4df,loaf mtl,3,,LOC
67118a0da620e436ef12f4f6,nexts east,3,,LOC
67118a0da620e436ef12f564,kew,12,,LOC
67118a0da620e436ef12f56d,mt. clare incap,3,,LOC
67118a0da620e436ef12f65c,north hanson,3,,LOC
67118a0da620e436ef12f67a,westward siding,6,,LOC
67118a0da620e436ef12f6c1,"helper s.w.
furl'd",3,,LOC
67118a0da620e436ef12f6c6,"helper s.w.
8-21-45",3,,LOC
67118a0da620e436ef12f78c,schoal,3,,LOC
67118a0da620e436ef12f827,ridgr,3,,LOC
67118a0da620e436ef12f8b4,harlem,3,,LOC
67118a0da620e436ef12f8b5,clas,6,,LOC
67118a0da620e436ef12f99b,reecohged,3,,LOC
67118a0da620e436ef12f9b0,l .65,3,,LOC
